,S,gameID,Q,time,awayTeam,awayScore,homeScore,homeTeam,teamPoss,recTeam,down,distance,side,dist2goal,puntDist,puntEndLoc,surrenderIndex,percentiles,NFLpercentiles,play,result
223062,24,6138,4,2:52,PHI,12,13,AZ,PHI,AZ,4.0,2.0,AZ,32.0,12.0,20.0,1174.4329851888363,100.0,100.0,"Punt by Hunt (R), K. of 32 yards. Touchback.",Touchback
293310,6,1592,5,12:29,YKW,27,27,NO,NO,YKW,4.0,2.0,YKW,32.0,12.0,20.0,930.9912084692833,99.99512694313142,100.0,"Punt by Lombardi, J. of 32 yards. Touchback.",Touchback
18823,11,2698,4,4:24,YKW,21,17,PHI,PHI,YKW,4.0,1.0,YKW,35.0,15.0,20.0,739.1149078659555,99.99025388626285,100.0,"Punt by (R) Fulture, K. of 35 yards. Touchback.",Touchback
136423,1,18,4,2:03,BAL,20,23,COL,BAL,COL,4.0,3.0,COL,35.0,15.0,20.0,730.9853784766264,99.98538082939427,100.0,"Punt by Harris, S. of 35 yards. Touchback.",Touchback
260230,3,314,4,3:16,PHI,14,17,YKW,PHI,YKW,4.0,5.0,YKW,33.0,13.0,20.0,708.052378634991,99.98050777252571,100.0,"Punt by Harris, S. of 33 yards. Touchback.",Touchback
309285,7,1754,4,8:30,YKW,23,20,SJS,SJS,YKW,4.0,3.0,YKW,32.0,12.0,20.0,695.3333835150169,99.97563471565714,100.0,"Punt by Blewitt, I. of 32 yards. Touchback.",Touchback
309723,7,1756,4,4:04,COL,3,38,NO,COL,NO,4.0,1.0,NO,34.0,14.0,20.0,685.8346094892236,99.97076165878856,100.0,"Punt by McCormick, M. of 34 yards. Touchback.",Touchback
333184,9,2334,4,6:44,YKW,13,21,OCO,YKW,OCO,4.0,2.0,OCO,33.0,13.0,20.0,685.117125917111,99.96588860191999,100.0,"Punt by Forfeit, N. of 33 yards. Touchback.",Touchback
149929,20,4993,4,3:20,AUS,27,34,OCO,AUS,OCO,4.0,1.0,OCO,36.0,16.0,20.0,678.8185580946954,99.96101554505141,100.0,"Punt by Crisco, A. of 36 yards. Touchback.",Touchback
117026,18,4609,4,3:54,BAL,23,27,AZ,BAL,AZ,4.0,1.0,AZ,36.0,16.0,20.0,644.7696660697467,99.95614248818283,99.99601799864612,"Punt by Brand, F. of 36 yards. Touchback.",Touchback
306088,7,1740,4,4:42,SJS,33,9,COL,COL,SJS,4.0,2.0,SJS,33.0,13.0,20.0,621.2054182651849,99.95126943131426,99.99601799864612,"Punt by McCormick, M. of 33 yards. Touchback.",Touchback
149947,20,4993,4,0:00,AUS,27,37,OCO,AUS,OCO,4.0,8.0,OCO,32.0,12.0,20.0,566.1328871602733,99.94639637444568,99.99601799864612,"Punt by Crisco, A. of 32 yards. Touchback.",Touchback
177901,22,5370,4,6:04,AUS,14,20,HON,AUS,HON,4.0,1.0,HON,36.0,16.0,20.0,527.6521997680713,99.94152331757712,99.99601799864612,"Punt by Crisco, A. of 36 yards. Touchback.",Touchback
227766,24,6125,4,6:05,SAR,20,27,HON,SAR,HON,4.0,1.0,HON,36.0,16.0,20.0,526.8287218582227,99.93665026070855,99.99601799864612,"Punt by Small, J. of 36 yards. Touchback.",Touchback
256753,3,298,4,2:42,BAL,17,17,SJS,SJS,BAL,4.0,2.0,BAL,33.0,13.0,20.0,496.71292933074363,99.93177720383997,99.99601799864612,"Punt by Blewitt, I. of 33 yards. Touchback.",Touchback
254784,3,289,4,9:01,PHI,10,6,BAL,BAL,PHI,4.0,5.0,PHI,32.0,12.0,20.0,496.46290665913506,99.9269041469714,99.99601799864612,"Punt by Turkleton, T. of 32 yards. Touchback.",Touchback
131613,19,4856,4,12:06,BAL,24,28,PHI,BAL,PHI,4.0,3.0,PHI,32.0,12.0,20.0,494.7217474525616,99.92203109010282,99.99601799864612,"Punt by Brand, F. of 32 yards. Touchback.",Touchback
286097,5,1414,4,10:08,COL,0,27,PHI,COL,PHI,4.0,1.0,PHI,33.0,13.0,20.0,465.0221722379152,99.91715803323424,99.99601799864612,"Punt by Leg, P. of 33 yards. Touchback.",Touchback
285069,5,1409,4,10:41,BAL,28,17,LV,LV,BAL,4.0,4.0,BAL,30.0,10.0,20.0,457.6481190214842,99.91228497636567,99.99601799864612,"Punt by Kicksit, B. of 30 yards. Touchback.",Touchback
159565,20,5038,4,1:28,NO,13,23,OCO,NO,OCO,4.0,6.0,OCO,35.0,15.0,20.0,432.86659765279524,99.90741191949711,99.99601799864612,"Punt by Prohaska (R), H. of 35 yards. Touchback.",Touchback
271575,4,755,4,14:02,PHI,20,14,YKW,YKW,PHI,4.0,1.0,PHI,33.0,13.0,20.0,432.5588172179369,99.90253886262853,99.99601799864612,"Punt by Lombardi, J. of 33 yards. Touchback.",Touchback
293271,6,1592,4,8:10,YKW,27,24,NO,NO,YKW,4.0,8.0,YKW,31.0,11.0,20.0,430.64429404901614,99.89766580575996,99.99601799864612,"Punt by Lombardi, J. of 31 yards. Touchback.",Touchback
199925,23,5628,4,0:15,PHI,21,24,NO,PHI,NO,4.0,1.0,NO,40.0,20.0,20.0,429.5931612905104,99.89279274889138,99.99601799864612,"Punt by Louis, L. of 40 yards. Touchback.",Touchback
91970,17,4292,4,11:00,NO,24,10,AUS,AUS,NO,4.0,3.0,NO,32.0,12.0,20.0,411.2657111637158,99.8879196920228,99.99601799864612,"Punt by Crisco, A. of 32 yards. Touchback.",Touchback
36287,12,2927,4,3:51,PHI,24,24,COL,COL,PHI,4.0,1.0,PHI,35.0,15.0,20.0,388.62919324574136,99.88304663515423,99.99203599729223,"Punt by Leg, P. of 35 yards. Touchback.",Touchback
87439,16,3924,5,3:16,BAL,24,24,NO,BAL,NO,4.0,10.0,NO,33.0,13.0,20.0,384.40375308009396,99.87817357828565,99.99203599729223,"Punt by Brand (R), F. of 33 yards. Touchback.",Touchback
35251,12,2922,4,6:15,AZ,17,20,BAL,AZ,BAL,4.0,4.0,BAL,35.0,15.0,20.0,373.43296127492704,99.87330052141708,99.99203599729223,"Punt by Jackson, D. of 35 yards. Touchback.",Touchback
208093,23,5668,4,6:02,BAL,10,13,COL,BAL,COL,4.0,7.0,COL,33.0,13.0,20.0,365.85395677416534,99.86842746454852,99.99203599729223,"Punt by Brand, F. of 33 yards. Touchback.",Touchback
181337,22,5387,4,5:40,CHI,6,13,SAR,CHI,SAR,4.0,3.0,SAR,37.0,17.0,20.0,365.1745460765683,99.86355440767994,99.99203599729223,"Punt by Sidekick (R), S. of 37 yards. Touchback.",Touchback
